No,Title,category,tier
110,"Statistics for Managers Using Microsoft Excel, Global Edition",Mathematical support,support
111,"Introduction to Java Programming and Data Structures, Global Edition",Programming support,strong
112,"Calculus with Applications, Global Edition",Mathematical support,support
113,"College Algebra and Trigonometry, Global Edition",Mathematical support,support
114,"Finite Mathematics with Applications In the Management, Natural, and Social Sciences, Global Edition",Mathematical support,support
115,Graphical Approach to Precalculus with Limits: A Unit Circle Approach,Mathematical support,support
116,"Mathematics with Applications in the Management, Natural and Social Sciences, Global Edition ",Mathematical support,support
117,Trigonometry,Mathematical support,support
118,"Introduction to Java Programming, Brief Version, Global Edition",Programming support,strong
119,"Introduction to Programming Using Python, An, Global Edition",Programming support,strong
120,Introduction to Programming with C++,Programming support,strong
121,Thinking Mathematically,Mathematical support,support
122,Research Methods,Mathematical support,support
123,"First Course in Statistics, A, Global Edition",Mathematical support,support
124,"Statistics for Business & Economics, Global Edition",Mathematical support,support
125,"Statistics, Global Edition",Mathematical support,support
126,"Second Course in Statistics, A: Regression Analysis",Mathematical support,support
127,John E. Freund's Mathematical Statistics with Applications,Mathematical support,support
128,"Introduction to Programming with Visual Basic 2012, An",Programming support,strong
129,"Introduction to Python Programming and Data Structures, Global Edition",Programming support,strong
130,Topology,Mathematical support,support
131,Fundamentals of Differential Equations and Boundary Value Problems,Mathematical support,support
132,"Fundamentals of Differential Equations, Global Edition",Mathematical support,support
133,Fundamentals of Differential Equations: Pearson New International Edition ,Mathematical support,support
134,Java for Students,Programming support,strong
135,Calculus For Biology and Medicine: Pearson New International Edition,Mathematical support,support
136,Business and Economics: Global Edition,Mathematical support,support
137,"Statistics for Business and Economics, Global Edition",Mathematical support,support
138,Linear Algebra and Differential Equations,Mathematical support,support
139,Java Foundations,Programming support,strong
140,"Java How to Program, Early Objects, Global Edition",Programming support,strong
141,"Java How To Program, Late Objects, Global Edition",Programming support,strong
142,"Java Software Solutions, Foundations of Program Design, Global Edition (International eBook)",Programming support,strong
143,"Java Software Solutions, Global Edition",Programming support,strong
144,"Java Software Solutions, Global Edition",Programming support,strong
145,"Java Software Structures, International Edition",Programming support,strong
146,"College Algebra and Trigonometry, Global Edition",Mathematical support,support
147,"Java: An Introduction to Problem Solving and Programming, Global Edition",Programming support,strong
148,"Principles of Risk Management and Insurance, Global Editon",Mathematical support,support
149,Object-Oriented Game Development,Programming support,strong
150,Elementary Number Theory,Mathematical support,support
151,"First Course in Probability, A, Global Edition",Mathematical support,support
152,"Object-Oriented Software Engineering Using UML, Patterns, and Java",Programming support,strong
153,"Objects First with Java: A Practical Introduction Using BlueJ, Global Edition",Programming support,strong
154,"Fundamentals of Complex Analysis with Applications to Engineering, Science, and Mathematics",Mathematical support,support
155,"Statistics for the Life Sciences, Global Edition",Mathematical support,support
156,Numerical Analysis,Mathematical support,support
157,Practical Cryptology and Web Security,Programming support,strong
158,"Practice of Computing Using Python, The, Global Edition",Programming support,strong
159,"Business Statistics, Global Edition",Mathematical support,support
160,"Friendly Introduction to Number Theory, A",Mathematical support,support
161,"Prelude to Programming: Concepts and Design, Global Edition",Programming support,strong
162,Elementary Linear Algebra,Mathematical support,support
163,Problem Solving & Programming Concepts,Programming support,strong
164,"Problem Solving and Program Design in C, Global Edition",Programming support,strong
165,"Problem Solving with C++, Global Edition",Programming support,strong
166,Programming the World Wide Web,Programming support,strong
167,Simply Visual Basic 2010: An App-Driven Approach,Programming support,strong
168,"Visual Approach to SPSS for Windows, A: A Guide to SPSS 17.0",Mathematical support,support
169,Software Design e-book,Programming support,strong
170,Statistics for Business: Decision Making and Analysis,Mathematical support,support
171,College Algebra,Mathematical support,support
172,Precalculus Enhanced with Graphing Utilities: Pearson New International Edition,Mathematical support,support
173,"Precalculus, Global Edition",Mathematical support,support
174,"Statistics: Informed Decisions Using Data, Global Edition",Mathematical support,support
175,"Software Engineering, Global Edition",Programming support,strong
176,"Starting Out With App Inventor for Android, Global Edition",Programming support,strong
177,"Starting Out with C++ from Control Structures to Objects, Global Edition (International eBook)",Programming support,strong
178,"Starting Out with C++: Early Objects, Global Edition",Programming support,strong
179,"Starting Out with Java: From Control Structures through Objects, Global Edition ",Programming support,strong
180,Starting Out with Programming Logic and Design,Programming support,strong
181,"Biostatistics for the Biological and Health Sciences, Global Edition",Mathematical support,support
182,Elementary Statistics Using Excel,Mathematical support,support
183,Elementary Statistics: Pearson New International Edition PDF eBook,Mathematical support,support
184,"Essentials of Statistics, Global Edition",Mathematical support,support
185,"Starting Out with Python, Global Edition",Programming support,strong
186,Calculus,Mathematical support,support
187,Calculus Early Transcendentals,Mathematical support,support
188,"Starting Out With Visual Basic, International Edition",Programming support,strong
189,Introduction to Analysis,Mathematical support,support
190,"Introduction to Analysis, Global Edition (Classic Version)",Mathematical support,support
191,"Starting out with Visual C#, Global Edition",Programming support,strong
192,Essentials of Probability & Statistics for Engineers & Scientists,Mathematical support,support
193,"Probability & Statistics for Engineers & Scientists, Global Edition",Mathematical support,support
194,Basic Technical Mathematics with Calculus,Mathematical support,support
195,Structured Computer Organization,Programming support,strong
196,Using UML,Programming support,strong
197,"Introductory Statistics,  Global Edition",Mathematical support,support
198,Visual Basic 2012 How to Program,Programming support,strong
199,Introduction to Graph Theory,Mathematical support,support
200,"Visual C# How to Program, Global Edition",Programming support,strong
201,"Web Development and Design Foundations with HTML5, Global Edition",Programming support,strong
202,Biostatistical Analysis,Mathematical support,support
